Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,Gd,TA,PProom,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,208500
2,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,No,Rec,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,181500
3,60,RL,68,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,Gd,TA,PProom,Gd,TA,No,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,223500
4,70,RL,60,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,NA,NA,NA,0,2,2006,WD,Abnorml,140000
5,60,RL,84,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,Gd,TA,PProom,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,250000
6,50,RL,85,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,6,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,Wood,TA,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,0,0,0,NA,MnPrv,NA,0,10,2009,WD,Normal,143000
7,20,RL,NA,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,186,Gd,TA,PProom,Gd,TA,Av,GLQ,1360,Unf,0,375,1735,GasA,Ex,Y,SBrkr,1735,0,0,1735,1,0,2,0,2,1,Gd,8,Typ,0,NA,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,307000
8,180,RL,NA,10382,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1958,1958,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,BLQ,859,Unf,0,452,1311,GasA,TA,Y,SBrkr,1311,0,0,1311,0,0,1,1,2,1,TA,5,Typ,0,NA,Attchd,1958,Unf,2,468,TA,TA,Y,0,0,108,0,0,0,NA,NA,Shed,700,11,2009,WD,Normal,200000
9,20,RL,66,10018,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,7,5,1965,1965,Gable,CompShg,VinylSd,VinylSd,BrkFace,240,Gd,TA,CBlock,Gd,TA,No,GLQ,985,Unf,0,498,1483,GasA,Ex,Y,SBrkr,1483,0,0,1483,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1965,RFn,2,486,TA,TA,Y,0,12,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,129900
10,20,RL,68,11193,Pave,NA,Reg,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Rec,789,LwQ,312,528,1629,GasA,TA,Y,SBrkr,1629,0,0,1629,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1957,Unf,1,420,TA,TA,N,0,0,0,0,0,0,NA,NA,NA,0,4,2008,WD,Normal,118000
11,85,RL,75,13810,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,286,Gd,TA,PProom,Gd,TA,Av,GLQ,1060,Unf,0,205,1265,GasA,Ex,Y,SBrkr,1265,1152,0,2417,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1994,RFn,3,774,TA,TA,Y,0,40,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,302000
12,60,RL,NA,9920,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,6,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Rec,864,Unf,0,227,1091,GasA,TA,Y,SBrkr,1091,0,0,1091,1,0,1,1,2,1,TA,5,Typ,0,NA,Attchd,1952,Unf,2,504,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,107000
13,50,RM,51,8402,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Artery,Norm,1Fam,1.5Unf,5,7,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Rec,928,Unf,0,172,1100,GasA,TA,Y,FuseF,1091,0,0,1091,0,1,1,0,2,1,TA,5,Typ,0,NA,Detchd,1950,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,91000
14,30,RM,50,5858,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1958,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Rec,810,Unf,0,570,1380,GasA,TA,Y,SBrkr,1380,0,0,1380,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1958,Unf,1,264,TA,TA,N,0,0,0,0,0,0,NA,MnPrv,NA,0,9,2007,WD,Normal,94500
15,20,RL,70,16800,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,380,Ex,TA,PProom,Ex,TA,Av,GLQ,1674,Unf,0,528,2202,GasA,Ex,Y,SBrkr,2202,0,0,2202,1,0,2,1,3,1,Ex,7,Typ,1,Ex,Attchd,2005,RFn,3,832,TA,TA,Y,278,54,0,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,311000
16,120,RL,NA,12600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1967,1967,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,CBlock,Gd,TA,No,GLQ,988,Unf,0,270,1258,GasA,Ex,Y,SBrkr,1258,0,0,1258,1,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,1967,RFn,2,522,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,175000
17,120,RL,63,11175,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,952,Unf,0,422,1374,GasA,Gd,Y,SBrkr,1374,0,0,1374,1,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1968,Unf,2,504,TA,TA,Y,0,50,0,0,0,0,NA,NA,NA,0,4,2007,WD,Normal,146000
18,30,RM,66,9060,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1971,1971,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,BLQ,864,Unf,0,250,1114,GasA,TA,Y,SBrkr,1114,0,0,1114,1,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1971,Unf,2,468,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,97000
19,30,RL,72,13200,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,BLQ,790,Unf,0,300,1090,GasA,TA,Y,SBrkr,1090,0,0,1090,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1965,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,121000
