Country_Name,Country_Code,Region,Income_Group,Year,GDP_USD,GDP_PerCapita_USD,Population_Total,Population_Growth_Pct,Urban_Population_Pct,Life_Expectancy_Years,Birth_Rate_Per1000,Death_Rate_Per1000,Fertility_Rate,CO2_Emissions_MT,Internet_Users_Pct,Unemployment_Pct,Government_Expenditure_GDP_Pct,Trade_GDP_Pct,Inflation_Pct,Access_Electricity_Pct,Primary_School_Enrollment_Pct,Hospital_Beds_Per1000,Research_Dev_Expenditure_GDP_Pct
United States,USA,North America,High income,2020,21060000000000,63543,331002651,0.35,82.06,77.28,11.0,8.9,1.64,4657.0,90.0,8.05,14.7,23.5,1.2,100.0,95.0,2.9,3.45
United States,USA,North America,High income,2021,23320000000000,70247,331893745,0.27,82.47,77.04,10.9,9.4,1.66,4776.0,91.8,5.39,15.4,24.8,4.7,100.0,96.0,2.9,3.46
United States,USA,North America,High income,2022,25460000000000,76330,332723000,0.25,82.86,77.13,10.8,9.1,1.64,4878.0,92.0,3.72,15.2,25.0,8.0,100.0,97.0,2.8,3.50
China,CHN,East Asia & Pacific,Upper middle income,2020,14720000000000,10435,1411100000,0.14,63.89,77.08,8.5,7.9,1.28,10523.0,70.3,4.74,11.9,35.3,2.4,100.0,99.0,4.3,2.40
China,CHN,East Asia & Pacific,Upper middle income,2021,17940000000000,12556,1412600000,0.11,64.72,78.08,7.5,7.9,1.16,11472.0,73.0,4.82,11.7,38.5,0.9,100.0,100.0,4.3,2.44
China,CHN,East Asia & Pacific,Upper middle income,2022,17960000000000,12720,1411750000,0.06,65.22,78.21,6.8,8.0,1.08,11342.0,75.0,4.65,11.8,38.3,2.1,100.0,100.0,4.3,2.55
Japan,JPN,East Asia & Pacific,High income,2020,5040000000000,40193,125850000,-0.42,91.78,84.82,6.3,11.1,1.33,1041.0,93.0,2.81,21.5,30.8,-0.1,100.0,100.0,13.0,3.27
Japan,JPN,East Asia & Pacific,High income,2021,4940000000000,39284,125680000,-0.44,91.87,84.96,6.2,11.7,1.30,1012.0,93.2,2.77,21.6,31.2,-0.2,100.0,100.0,13.0,3.28
Japan,JPN,East Asia & Pacific,High income,2022,4230000000000,33815,125030000,-0.52,91.96,84.67,5.9,12.0,1.20,1003.0,93.5,2.63,21.4,36.8,2.5,100.0,100.0,13.1,3.30
Germany,DEU,Europe & Central Asia,High income,2020,3890000000000,46517,83200000,0.08,77.45,80.87,9.3,11.6,1.53,605.0,91.5,3.79,21.1,86.6,0.4,100.0,100.0,8.0,3.13
