crim_scaled,zn_scaled,indus_scaled,nox_scaled,rm_scaled,age_scaled,dis_scaled,rad_scaled,tax_scaled,ptratio_scaled,b_scaled,lstat_scaled
-0.414259,0.284830,-1.286636,-0.144217,0.413672,-0.119945,0.140214,-0.982842,-0.665799,-0.509823,0.176244,-1.089742
-0.407761,-0.487522,-0.593292,-0.512429,0.194274,0.367166,0.556829,-0.867884,-0.987357,-0.110629,0.176244,-0.498983
-0.407761,-0.487522,-0.593292,-0.512429,1.282714,-0.266577,0.556829,-0.867884,-0.987357,-0.110629,0.080849,-1.120699
-0.401939,-0.487522,-1.306205,-0.658153,1.036478,-0.804521,1.074345,-0.752927,-1.105578,0.073093,0.128346,-1.291068
-0.370474,-0.487522,-1.306205,-0.658153,1.238960,-0.622058,1.074345,-0.752927,-1.105578,0.073093,0.176244,-1.018557
-0.403868,-0.487522,-1.306205,-0.658153,0.147604,-0.483060,1.074345,-0.752927,-1.105578,0.073093,0.123966,-1.039255
-0.378195,0.155182,-0.386224,-0.358305,-0.333856,0.060716,0.745536,-0.523012,-0.470568,-0.578099,0.157803,-0.241735
-0.355153,0.155182,-0.386224,-0.358305,-0.171600,1.388790,0.858019,-0.523012,-0.470568,-0.578099,0.176244,0.467873
-0.325832,0.155182,-0.386224,-0.358305,-0.952745,1.607295,0.914066,-0.523012,-0.470568,-0.578099,-0.072455,1.806426
-0.344550,0.155182,-0.386224,-0.358305,-0.385052,0.843306,1.034502,-0.523012,-0.470568,-0.578099,-0.064475,0.466605
-0.323968,0.155182,-0.386224,-0.358305,0.003932,1.098459,0.951774,-0.523012,-0.470568,-0.578099,0.082648,0.765280
-0.361398,0.155182,-0.386224,-0.358305,-0.384748,0.722112,0.887655,-0.523012,-0.470568,-0.578099,0.176244,0.141676
-0.373795,0.155182,-0.386224,-0.358305,-0.531312,-0.696559,0.614824,-0.523012,-0.470568,-0.578099,0.095761,0.462096
0.002597,-0.487522,-0.230537,-0.144217,-0.462485,-0.392835,0.403236,-0.637970,0.213146,0.474630,0.176244,-0.322892
0.006560,-0.487522,-0.230537,-0.144217,-0.157561,0.407438,0.308149,-0.637970,0.213146,0.474630,-0.243338,-0.146015
0.005284,-0.487522,-0.230537,-0.144217,-0.562565,-0.686552,0.319108,-0.637970,0.213146,0.474630,0.115261,-0.285364
0.030758,-0.487522,-0.230537,-0.144217,-0.384520,-1.212748,0.319108,-0.637970,0.213146,0.474630,0.056649,-0.522172
0.005878,-0.487522,-0.230537,-0.144217,-0.542417,0.203569,0.227854,-0.637970,0.213146,0.474630,0.024807,-0.017849
0.018051,-0.487522,-0.230537,-0.144217,-1.230449,-0.980625,0.049610,-0.637970,0.213146,0.474630,-0.637987,0.265828
0.000668,-0.487522,-0.230537,-0.144217,-0.679074,-0.050945,0.049610,-0.637970,0.213146,0.474630,0.091220,-0.048314
0.050873,-0.487522,-0.230537,-0.144217,-1.020845,1.314695,0.049610,-0.637970,0.213146,0.474630,-0.029589,1.020809
0.008541,-0.487522,-0.230537,-0.144217,-0.443371,0.747022,0.149093,-0.637970,0.213146,0.474630,0.146251,0.360784
0.046517,-0.487522,-0.230537,-0.144217,-0.164442,0.874954,0.122879,-0.637970,0.213146,0.474630,0.176244,0.819078
0.035035,-0.487522,-0.230537,-0.144217,-0.471866,1.400536,0.074804,-0.637970,0.213146,0.474630,0.132418,0.877534
0.012045,-0.487522,-0.230537,-0.144217,-0.360564,1.247565,0.181436,-0.637970,0.213146,0.474630,0.127670,0.628262
