sensor_id,timestamp,temperature_c,humidity_pct,pressure_hpa,co2_ppm,vibration_mm_s,noise_db,light_lux,power_consumption_kw,equipment_status,maintenance_flag,location,anomaly_detected
S001,2024-01-01 00:00:00,22.5,45.2,1013.2,410.0,0.12,55.3,320.5,2.45,Running,False,Building_A_Floor_1,False
S001,2024-01-01 01:00:00,22.3,45.8,1013.1,408.5,0.11,54.8,280.2,2.38,Running,False,Building_A_Floor_1,False
S001,2024-01-01 02:00:00,22.1,46.1,1013.0,406.2,0.13,55.1,150.3,2.30,Running,False,Building_A_Floor_1,False
S001,2024-01-01 03:00:00,21.9,46.5,1012.8,405.0,0.10,53.7,80.1,2.22,Running,False,Building_A_Floor_1,False
S001,2024-01-01 04:00:00,21.7,47.0,1012.7,403.8,0.09,52.4,50.5,2.15,Running,False,Building_A_Floor_1,False
S001,2024-01-01 05:00:00,22.0,46.8,1012.9,405.5,0.14,54.2,120.8,2.28,Running,False,Building_A_Floor_1,False
S001,2024-01-01 06:00:00,22.8,45.5,1013.3,420.0,0.18,58.6,450.3,2.65,Running,False,Building_A_Floor_1,False
S001,2024-01-01 07:00:00,23.5,44.2,1013.5,445.0,0.22,62.1,780.5,3.10,Running,False,Building_A_Floor_1,False
S001,2024-01-01 08:00:00,24.2,43.0,1013.8,475.0,0.28,65.4,920.8,3.55,Running,False,Building_A_Floor_1,False
S001,2024-01-01 09:00:00,25.0,41.8,1014.0,510.0,0.35,68.7,1050.2,4.02,Running,False,Building_A_Floor_1,False
S001,2024-01-01 10:00:00,25.8,40.5,1014.1,540.0,0.32,70.2,1120.5,4.28,Running,False,Building_A_Floor_1,False
S001,2024-01-01 11:00:00,26.3,39.2,1014.0,565.0,0.30,71.5,1150.3,4.45,Running,False,Building_A_Floor_1,False
S002,2024-01-01 00:00:00,19.8,52.3,1012.5,380.0,0.08,48.2,200.1,1.85,Running,False,Building_B_Floor_2,False
S002,2024-01-01 01:00:00,19.5,52.8,1012.4,378.5,0.07,47.5,180.3,1.78,Running,False,Building_B_Floor_2,False
S002,2024-01-01 02:00:00,19.2,53.2,1012.3,376.0,0.09,48.0,100.2,1.72,Running,False,Building_B_Floor_2,False
S002,2024-01-01 03:00:00,18.9,53.8,1012.1,374.5,0.08,47.1,60.5,1.65,Running,False,Building_B_Floor_2,False
S002,2024-01-01 04:00:00,18.7,54.2,1012.0,373.0,0.06,46.3,40.1,1.58,Standby,False,Building_B_Floor_2,False
S002,2024-01-01 05:00:00,19.0,53.9,1012.2,375.0,0.10,47.8,90.3,1.70,Standby,False,Building_B_Floor_2,False
S002,2024-01-01 06:00:00,19.8,52.5,1012.5,395.0,0.15,52.3,350.8,2.10,Running,False,Building_B_Floor_2,False
S002,2024-01-01 07:00:00,20.5,51.0,1012.8,425.0,0.20,56.8,650.5,2.55,Running,False,Building_B_Floor_2,False
S002,2024-01-01 08:00:00,21.2,49.5,1013.0,460.0,0.25,60.5,850.2,3.00,Running,False,Building_B_Floor_2,False
S002,2024-01-01 09:00:00,22.0,48.0,1013.2,490.0,0.30,63.8,980.5,3.42,Running,False,Building_B_Floor_2,False
S002,2024-01-01 10:00:00,22.5,47.2,1013.3,510.0,0.28,65.1,1020.3,3.60,Running,False,Building_B_Floor_2,False
S002,2024-01-01 11:00:00,23.0,46.5,1013.2,530.0,0.26,66.4,1050.8,3.75,Running,False,Building_B_Floor_2,False
S003,2024-01-01 00:00:00,25.2,38.5,1015.0,520.0,0.45,72.3,580.5,5.20,Running,False,Factory_C_Line_1,False
S003,2024-01-01 01:00:00,25.5,38.0,1015.1,525.0,0.48,73.1,560.2,5.35,Running,False,Factory_C_Line_1,False
S003,2024-01-01 02:00:00,25.8,37.5,1015.2,530.0,0.50,74.0,540.8,5.50,Running,False,Factory_C_Line_1,False
S003,2024-01-01 03:00:00,28.5,35.0,1014.8,680.0,1.25,85.2,620.5,7.80,Running,True,Factory_C_Line_1,True
S003,2024-01-01 04:00:00,30.2,32.5,1014.5,750.0,2.10,92.5,650.3,8.95,Running,True,Factory_C_Line_1,True
S003,2024-01-01 05:00:00,26.0,37.0,1015.0,535.0,0.52,73.5,550.1,5.45,Running,False,Factory_C_Line_1,False
S003,2024-01-01 06:00:00,25.5,37.8,1015.1,528.0,0.47,72.8,570.5,5.30,Running,False,Factory_C_Line_1,False
S003,2024-01-01 07:00:00,25.3,38.2,1015.0,522.0,0.44,72.0,590.2,5.15,Running,False,Factory_C_Line_1,False
S003,2024-01-01 08:00:00,25.0,38.8,1014.9,518.0,0.42,71.5,600.8,5.05,Running,False,Factory_C_Line_1,False
S003,2024-01-01 09:00:00,24.8,39.2,1014.8,515.0,0.40,71.0,610.5,4.95,Running,False,Factory_C_Line_1,False
S003,2024-01-01 10:00:00,24.5,39.5,1014.7,512.0,0.38,70.2,620.3,4.85,Running,False,Factory_C_Line_1,False
S003,2024-01-01 11:00:00,24.3,40.0,1014.6,508.0,0.36,69.5,630.1,4.75,Running,False,Factory_C_Line_1,False
